,glycolysis_score,oxphos_score,metabolic_ratio,metabolic_label
TCGA-AC-A5XS,-0.0897469154182548,0.30815669323986056,-0.39790360865811536,Oxidative
TCGA-AC-A5XU,-0.024091200356460424,0.11004685858076198,-0.13413805893722242,Mixed
TCGA-AC-A62V,0.6113547682748288,1.0061192647716801,-0.3947644964968513,Oxidative
TCGA-AC-A62X,0.2876219189514518,0.014744054099223008,0.27287786485222876,Glycolytic
TCGA-AC-A62Y,-0.02750357316903834,0.24550280563812193,-0.2730063788071603,Oxidative
TCGA-AC-A6IV,0.18280734271005253,-0.36405196766570497,0.5468593103757575,Glycolytic
TCGA-AC-A6IW,0.6499535506428489,0.6086039107967771,0.04134963984607176,Mixed
TCGA-AC-A6IX,-0.21123496864917105,-0.20814904602444972,-0.003085922624721321,Mixed
TCGA-AC-A6NO,-0.19786188164749555,-0.019342030230179132,-0.1785198514173164,Oxidative
TCGA-AC-A7VB,-0.029805617012406315,0.12319041432304334,-0.15299603133544964,Mixed
TCGA-AC-A7VC,0.8472426143159759,0.7504796304270553,0.09676298388892057,Mixed
TCGA-AC-A8OP,-0.2152538147133652,-0.4916155172186314,0.2763617025052662,Glycolytic
TCGA-AC-A8OQ,0.3298955243654661,-0.060608514027271125,0.39050403839273723,Glycolytic
TCGA-AC-A8OR,0.255318456279078,-0.41459125046670886,0.6699097067457869,Glycolytic
TCGA-AC-A8OS,-0.18062172576347404,-0.3027349946686096,0.12211326890513555,Mixed
TCGA-AN-A0XL,-0.5502144333459617,-0.5507349103764698,0.0005204770305081707,Mixed
TCGA-AN-A0XN,0.40526104108404154,-0.46035429122612337,0.865615332310165,Glycolytic
TCGA-AN-A0XO,0.12579500966994164,0.18225470195304544,-0.056459692283103796,Mixed
TCGA-AN-A0XP,-0.6049326161543173,-0.1271801104236483,-0.47775250573066896,Oxidative
TCGA-AN-A0XR,-0.0957210702468371,0.09432026557334523,-0.19004133582018234,Oxidative
TCGA-AN-A0XS,-0.25493664439814645,-0.26713751274514586,0.012200868346999405,Mixed
TCGA-AN-A0XT,-0.7949097903135932,-0.1972660487883908,-0.5976437415252024,Oxidative
TCGA-AN-A0XU,0.7824700305570373,0.21119398081921006,0.5712760497378273,Glycolytic
TCGA-AN-A0XV,-0.07885680230629898,-0.04639043404341845,-0.032466368262880525,Mixed
TCGA-AN-A0XW,0.06804093177501457,-0.07912323329001363,0.1471641650650282,Mixed
TCGA-AO-A03L,-0.27348263583686394,-0.16489459805456347,-0.10858803778230047,Mixed
TCGA-AO-A03M,0.21483718524442982,0.26977330864170623,-0.05493612339727641,Mixed
TCGA-AO-A03N,0.016278836792972165,0.9243104465354204,-0.9080316097424482,Oxidative
TCGA-AO-A03U,0.021160333236769642,-0.772039041710241,0.7931993749470106,Glycolytic
TCGA-AO-A0JA,-0.47912805417998583,-0.30515642423177214,-0.1739716299482137,Oxidative
TCGA-AO-A0JB,0.04022157795439635,1.0416487756982706,-1.0014271977438742,Oxidative
TCGA-AO-A0JC,-0.08870989460158298,-0.44632147694771973,0.35761158234613677,Glycolytic
TCGA-AO-A0JD,0.6054094871231517,0.9410057970026023,-0.33559630987945066,Oxidative
TCGA-AO-A0JE,-0.00849790543340071,-0.08766269907364316,0.07916479364024245,Mixed
TCGA-AO-A0JF,-0.18595553750040864,-0.09330220753503536,-0.09265332996537327,Mixed
TCGA-AO-A0JG,-0.48184468644407313,-0.37470737132901033,-0.1071373151150628,Mixed
TCGA-AO-A0JI,-0.42103485016011793,0.005180518819403498,-0.42621536897952145,Oxidative
TCGA-AO-A0JJ,-0.21757886572685367,0.06870906000142432,-0.286287925728278,Oxidative
TCGA-AO-A0JL,0.041641868485169736,0.6199430040539827,-0.578301135568813,Oxidative
TCGA-AO-A0JM,0.10707687300031546,0.03866399934303579,0.06841287365727966,Mixed
TCGA-AO-A124,0.4966358695129852,0.4309936123341242,0.06564225717886102,Mixed
TCGA-AO-A125,-0.2070042191856828,0.1001945744106272,-0.30719879359630997,Oxidative
TCGA-AO-A126,-0.22230878841528703,0.31489650104015426,-0.5372052894554413,Oxidative
TCGA-AO-A128,0.0008230710621037816,-0.3886763425888916,0.3894994136509954,Glycolytic
TCGA-AO-A129,0.6184212425896828,0.26545318249826294,0.35296806009141984,Glycolytic
TCGA-AO-A12B,-0.24685852222114554,0.7490498917757938,-0.9959084139969394,Oxidative
TCGA-AO-A12C,-0.26574142579963084,-0.25785125809734294,-0.007890167702287898,Mixed
TCGA-AO-A12E,0.1579682147504346,0.11642080057702552,0.041547414173409083,Mixed
TCGA-AO-A12G,-0.09317302236182046,0.8836668953040925,-0.9768399176659129,Oxidative
TCGA-AO-A1KO,-0.6988733535797605,-0.7730641141968971,0.07419076061713659,Mixed
TCGA-AO-A1KP,-0.5920711262719434,0.04895023329929694,-0.6410213595712403,Oxidative
TCGA-AO-A1KQ,0.49225632666451025,0.6201066682107015,-0.12785034154619124,Mixed
TCGA-AO-A1KR,0.3112712723499858,0.9357552855601481,-0.6244840132101623,Oxidative
TCGA-AO-A1KS,-0.9321813111564169,-0.7003109748291986,-0.23187033632721832,Oxidative
TCGA-AO-A1KT,0.5244647125074416,0.28062033547184323,0.24384437703559841,Glycolytic
TCGA-AQ-A04H,-0.0860311837292063,-0.4632433888932368,0.3772122051640305,Glycolytic
TCGA-AQ-A04L,0.5061336817118873,0.5961011491202752,-0.0899674674083879,Mixed
TCGA-AQ-A0Y5,1.067598883141368,0.13283334182801054,0.9347655413133575,Glycolytic
TCGA-AQ-A1H2,0.2807918208052858,0.27339951875856416,0.007392302046721644,Mixed
